file_path,timestamp,latitude,longitude
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00140.jpg,2006-01-02 14:04:47+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00141.jpg,2006-01-02 14:05:26+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00142.JPG,2006-01-02 14:06:18+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00144.JPG,2006-01-02 14:31:55+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00146.JPG,2006-01-02 14:34:08+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00149.JPG,2006-01-02 15:10:08+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00150.JPG,2006-01-02 15:11:26+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00151.JPG,2006-01-02 15:12:40+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00152.JPG,2006-01-02 15:14:06+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00155.JPG,2006-01-02 20:15:34+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00156.JPG,2006-01-07 19:27:43+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00157.JPG,2006-01-07 19:27:51+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00158.JPG,2006-01-07 19:28:23+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00159.JPG,2006-01-07 19:29:40+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00160.JPG,2006-01-07 19:36:00+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00161.JPG,2006-01-07 19:36:28+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.07\DSC00162.JPG,2006-01-07 19:36:58+00:00,,
